en,ko
a,ㅏ
ability,능력
able,할 수 있는
about,~에 대한
above,~ 위에
accept,수용하다
according,~에 따라
account,계정
across,가로질러
act,행동
action,행동
activity,활동
actually,실제로
add,추가하다
address,주소
administration,관리
admit,인정하다
adult,성인
affect,영향을 미치다
after,~ 후에
again,다시
against,~에 맞서
age,나이
agency,대행사
agent,대리인
ago,~ 전에
agree,동의하다
agreement,합의
ahead,앞으로
air,공기
all,모두
allow,허용하다
almost,거의
alone,홀로
along,~을 따라
already,이미
also,또한
although,하지만
always,언제나
American,미국 사람
among,~ 중에
amount,양
analysis,분석
and,그리고
animal,동물
another,또 다른
answer,답변
any,어느
anyone,누구나
anything,아무것
appear,나타나다
apply,적용하다
approach,접근하다
area,영역
argue,다투다
arm,팔
around,약
arrive,도착하다
art,미술
article,기사
artist,아티스트
as,~처럼
ask,묻다
assume,추정하다
at,~에
attack,공격
attention,주목
attorney,변호사
audience,청중
author,작가
authority,권한
available,사용 가능
avoid,피하다
away,떨어져 있는
baby,아기
back,뒤쪽에
bad,나쁜
bag,가방
ball,공
bank,은행
bar,술집
base,베이스
be,BE
beat,이기다
beautiful,아름다운
because,왜냐하면
become,~이 되다
bed,침대
before,~ 전에
begin,시작하다
behavior,행동
behind,뒤에
believe,믿다
benefit,혜택
best,최상의
better,더 나은
between,~ 사이
beyond,그 너머에
big,큰
bill,청구서
billion,10억
bit,조금
black,검은색
blood,피
blue,파란색
board,판자
body,몸
book,책
born,태어나다
both,둘 다
box,상자
boy,소년
break,부서지다
bring,가져오다
brother,형제
budget,예산
build,짓다
building,건물
business,사업
but,하지만
buy,구입하다
by,~에 의해
call,부르다
camera,카메라
campaign,운동
can,~할 수 있다
cancer,암
candidate,후보자
capital,수도
car,자동차
card,카드
care,케어
career,직업
carry,나르다
case,사례
catch,잡다
cause,원인
cell,셀
center,센터
central,본부
century,세기
certain,확실한
certainly,틀림없이
chair,의자
challenge,도전
chance,가능성
change,변화
character,성격
charge,요금
check,확인하다
child,어린이
choice,선택
choose,선택하다
church,교회
citizen,시민
city,도시
civil,예의 바른
claim,주장하다
class,수업
clear,분명한
clearly,분명히
close,닫다
coach,코치
cold,추운
collection,수집
college,대학
color,색상
come,오다
commercial,광고
common,흔한
community,지역 사회
company,회사
compare,비교하다
computer,컴퓨터
concern,우려
condition,상태
conference,회의
Congress,회의
consider,고려하다
consumer,소비자
contain,포함하다
continue,계속하다
control,제어
cost,비용
could,~할 수 있었다
country,국가
couple,커플
course,강의
court,법원
cover,씌우다
create,만들다
crime,범죄
cultural,문화적
culture,문화
cup,컵
current,현재의
customer,고객
cut,자르다
dark,어두운
data,데이터
daughter,딸
day,낮
dead,죽은
deal,거래
death,죽음
debate,토론
decade,10년
decide,결정하다
decision,결정
deep,깊은
defense,방어
degree,도
Democrat,민주당
democratic,민주적인
describe,설명하다
design,설계
despite,~에도 불구하고
detail,세부 사항
determine,결정하다
develop,개발하다
development,개발
die,주사위
difference,차이점
different,다른
difficult,어려운
dinner,저녁
direction,방향
director,감독
discover,발견하다
discuss,논의하다
discussion,논의
disease,질병
do,하다
doctor,의사
dog,개
door,문
down,아래에
draw,그리다
dream,꿈
drive,운전하다
drop,떨어지다
drug,의약품
during,~ 동안
each,각
early,일찍
east,동쪽
easy,쉬운
eat,먹다
economic,간결한
economy,경제
edge,가장자리
education,교육
effect,효과
effort,노력
eight,여덟
either,어느 하나
election,선거
else,또 다른
employee,직원
end,끝
energy,에너지
enjoy,즐기다
enough,충분한
enter,입력하다
entire,전체
environment,환경
environmental,환경
