,헤드라인,link
0,엄상필 “아깝다 1000만원” 하이런15점에도 ‘퍼펙트큐’ 폐지로 상금 불발,https://n.news.naver.com/mnews/article/009/0005322378
1,러시아에 뒤통수 맞고도…‘꿀 먹은 벙어리’ 한국정부,https://n.news.naver.com/mnews/article/009/0005322377
2,"“훈련병 사망 중대장, 빈소 오지도 않았는데 갑자기 유족에게 연락”...왜?",https://n.news.naver.com/mnews/article/009/0005322376
3,“딸 위해 가입한 펀드 팔수밖에”…연말정산도 금투세 도입땐 손해,https://n.news.naver.com/mnews/article/009/0005322375
4,아이들 ‘이 백신’ 빨리 맞혀야...때이른 폭염에 일본뇌염 매개 모기 곳곳서 발견,https://n.news.naver.com/mnews/article/009/0005322374
5,"[속보] 정부, 북러 조약에 “우크라 무기 지원 문제 재검토할 것”",https://n.news.naver.com/mnews/article/009/0005322373
6,"[단독] “대기업 투자 받았지만 못버텨”…역대 최대 법인회생, 열에 여섯은 中企",https://n.news.naver.com/mnews/article/009/0005322372
7,[속보] 정부 “북러 포괄전략적동반자관계에 엄중한 우려·규탄”,https://n.news.naver.com/mnews/article/009/0005322371
8,[속보] 국가안보실장 “우크라 무기지원 검토”…북러 밀월에 강경대응,https://n.news.naver.com/mnews/article/009/0005322370
9,"포항-2차전지, 여수-LNG, 전주-탄소섬유···기회특구 지정",https://n.news.naver.com/mnews/article/009/0005322369
10,우상호 “나는 계파가 싫다...계파원되면 민주당 사라져”,https://n.news.naver.com/mnews/article/009/0005322368
11,"우크라 구원할 최종병기, 여름 출격 준비 완료",https://n.news.naver.com/mnews/article/009/0005322367
12,[속보] 내년 APEC 정상회의 개최도시로 ‘경주’ 사실상 확정,https://n.news.naver.com/mnews/article/009/0005322366
13,“제주 바닷바람이 청정수소 생산” 매연 대신 물 뿜는 그린수소버스 질주,https://n.news.naver.com/mnews/article/009/0005322365
14,금투세 공포…커지는 '펀드런 폭탄',https://n.news.naver.com/mnews/article/009/0005322364
15,코너몰린 영세기업 '회생 러시',https://n.news.naver.com/mnews/article/009/0005322363
16,'신혼 임대' 20평대까지 넓힌다,https://n.news.naver.com/mnews/article/009/0005322362
17,"결국 레드라인 넘은 북·러 ""전쟁땐 지체없이 군사원조""",https://n.news.naver.com/mnews/article/009/0005322361
18,사업재편 속도 내는 SK 베트남 투자금 1조 회수,https://n.news.naver.com/mnews/article/009/0005322360
19,[포토] HD현대인프라코어 굴착기 튀르키예 정부물량 첫 수주,https://n.news.naver.com/mnews/article/009/0005322359
20,냉장고도 하이브리드 … 에너지 30% 아낀다,https://n.news.naver.com/mnews/article/009/0005322358
21,"유일바이오텍·고려대 손잡고 에쓰오일, 바이오항공유 개발",https://n.news.naver.com/mnews/article/009/0005322357
22,CATL에 맞선 지멘스 … 똘똘 뭉친 유럽 기업들,https://n.news.naver.com/mnews/article/009/0005322356
23,"세계 첫 인공 에너지섬에 LS전선, 해저케이블 깐다",https://n.news.naver.com/mnews/article/009/0005322355
24,"아반떼, 공간 활용성 확 높였네",https://n.news.naver.com/mnews/article/009/0005322354
25,서린상사 이사회 8대1로 경영권 장악한 고려아연,https://n.news.naver.com/mnews/article/009/0005322353
26,"[단독] “잘나가던 회사, 중국 저가공세 때문에”...법인 회생신청 사상 최고",https://n.news.naver.com/mnews/article/009/0005322352
27,"[단독]신혼부부 임대주택 면적 기준 완화…국토부, 내주 보완책 발표",https://n.news.naver.com/mnews/article/009/0005322351
28,"[단독] 긴박한 SK, 1조 실탄 확보…베트남 투자지분 매각 나선다",https://n.news.naver.com/mnews/article/009/0005322350
29,"62주년 맞은 대신증권 ""더 높은 도약 준비""",https://n.news.naver.com/mnews/article/009/0005322349
30,해외주식·연금자산 동반 30조 미래에셋證 '30·30 클럽' 입성,https://n.news.naver.com/mnews/article/009/0005322348
31,프랑스 조기 총선 후폭풍…요동치는 유럽 증시,https://n.news.naver.com/mnews/article/009/0005322347
32,위워크 오피스 투자금 날릴뻔했는데 '휴~',https://n.news.naver.com/mnews/article/009/0005322346
33,"""내년엔 세금 22%, 수익낸 펀드 일단 팔자""…장기투자 막는 금투세",https://n.news.naver.com/mnews/article/009/0005322345
34,금투세 도입땐 채권 매매차익 과세 채권투자 수요 줄어 금리상승 압박,https://n.news.naver.com/mnews/article/009/0005322344
35,"""稅폭탄에 환매요청 빗발…사모펀드 시장 망가질 것""",https://n.news.naver.com/mnews/article/009/0005322343
36,신생아 몰아주기에 뿔난 40대…“공공분양 포기”,https://n.news.naver.com/mnews/article/009/0005322342
37,中 4개월째 금리 동결,https://n.news.naver.com/mnews/article/009/0005322341
38,"헤즈볼라 ""확전땐 갈릴리부터 타격""",https://n.news.naver.com/mnews/article/009/0005322340
39,"페라리 전기차, 최소 7억5천만원",https://n.news.naver.com/mnews/article/009/0005322339
40,필리핀 '내우외환'… 中과 갈등 와중에 전·현직 대통령 충돌,https://n.news.naver.com/mnews/article/009/0005322338
41,2%P 이겼다,https://n.news.naver.com/mnews/article/009/0005322337
42,美 재계도 '中 지우기'… 협회 퇴출·직원 감시 강화,https://n.news.naver.com/mnews/article/009/0005322336
43,"때 이른 불볕더위, 얼리 바캉스 가고 싶다면 ‘6월 기차여행’ 어때",https://n.news.naver.com/mnews/article/009/0005322335
44,[포토] 외국환율고시표,https://n.news.naver.com/mnews/article/009/0005322334
45,"[포토] 은행·보험사, PF 시장에 1조 '마중물'",https://n.news.naver.com/mnews/article/009/0005322333
46,건전성 관리나선 수협…부실채권 6천억 판다,https://n.news.naver.com/mnews/article/009/0005322332
47,37만 통신채무 연체자도 21일부터 채무조정,https://n.news.naver.com/mnews/article/009/0005322331
48,정부 '신중모드'… 외교력 도마에,https://n.news.naver.com/mnews/article/009/0005322330
49,DGB생명 새 이름 'iM라이프' 2년내 변액보험자산 2조 도전,https://n.news.naver.com/mnews/article/009/0005322329
50,"""미중 무역전쟁 심화땐 韓 국민총지출 5%줄어""",https://n.news.naver.com/mnews/article/009/0005322328
51,"""뉴시니어 잡자""…은행 유언신탁 경쟁 가열",https://n.news.naver.com/mnews/article/009/0005322327
52,"美 ""동맹국들 계속 지원할 것"" 日 ""북핵 안보리 제재 엄격히""",https://n.news.naver.com/mnews/article/009/0005322326
53,"북·러, 냉전시대 동맹 복원 …'전시개입' 문구 한미조약보다 강해",https://n.news.naver.com/mnews/article/009/0005322325
54,8월 둘째주 전력 피크…전기요금 분할 납부,https://n.news.naver.com/mnews/article/009/0005322324
